obs_id,true_value,meas_value,corr_value,diff(%)
3, 27.3274  30.4023 0.800367 0.913709, 27.9178  30.8604  0.84061 0.989711, 27.8516    30.81 0.814796 0.974172,1.91829 1.34132 1.80287 6.61725
4, 31.7613  5.98287  1.19331 -0.90761,  31.8061   5.61007   1.15988 -0.912369,   31.792   5.73642   1.17267 -0.905595,0.0964624  -4.11927  -1.72955 -0.222037
8, 17.9065   23.208 0.705534 0.888365, 17.8498  23.4979 0.745198 0.937764, 17.8467  23.4307 0.713346 0.923192,-0.333878  0.959609    1.1073   3.92029
10, 11.6266  33.2981 -1.01197  0.92036,  11.0459   33.1628 -0.988994  0.894049, 11.1255  33.2027 -1.00203 0.903565,  -4.3104 -0.286394 -0.982539  -1.82479
13, 19.5665  34.4981 0.997106  1.19529,19.5202 35.0059 1.03907  1.1727, 19.537 34.8902 1.01988 1.16257,-0.150695   1.13664   2.28386   -2.7376
16, 21.9588  32.4769 0.992117 0.773403, 22.0323  32.5422 0.992537 0.827208,22.0033 32.5018  1.0039 0.81069, 0.202376 0.0766653   1.18777   4.82118
18,  27.3268   11.2465   0.96444 -0.630509,  27.4681   11.1515   1.00262 -0.661137,  27.4619   11.1441  0.994325 -0.673989, 0.494455 -0.910621   3.09871   6.89598
19, 22.9512  5.14762  1.18179 -0.64807,  22.9691   4.65084   1.17065 -0.587672,  22.9745   4.72025   1.17332 -0.604256, 0.101429  -8.30227 -0.716767   -6.7607
0, 37.7517  34.1686  1.00698 0.658711,   37.65  34.3964  1.00651 0.626535, 37.6337  34.3508 0.992976 0.665267,-0.312609  0.533029  -1.39027  0.995255
1,  19.9263   10.7245   0.81513 -0.615168,  20.3066   10.5685  0.735534 -0.609163,  20.2429   10.5923  0.774246 -0.605707, 1.58896 -1.23244 -5.01562 -1.53792
2,  11.0763   34.3251 -0.814928  0.728628,  10.9005   34.5609 -0.702881  0.694318,  10.9316   34.5002 -0.733161  0.729483,-1.30699 0.509939 -10.0336 0.117356
3,  27.354  30.4327 0.800367 0.913709, 27.6384  30.5633 0.725725  0.91536, 27.6811  30.6129 0.759721 0.937793, 1.19548 0.592203 -5.07842  2.63583
4, 31.8011  5.95262  1.19331 -0.90761,  31.9349   6.05048   1.22093 -0.918879,  31.9165   5.98914   1.20251 -0.913766, 0.36287 0.613519 0.770561 0.678334
8,   17.93  23.2376 0.705534 0.888365,  17.794  23.4942 0.664591 0.897292, 17.8075  23.4883 0.683205 0.907189,-0.683177    1.0789  -3.16479   2.11886
10, 11.5929  33.3288 -1.01197  0.92036, 11.7075  33.4452 -1.06513 0.922679, 11.5978  33.4074 -1.04096 0.915402, 0.042012  0.235872   2.86459 -0.538732
13, 19.5998   34.538 0.997106  1.19529, 19.8571  34.1298 0.973956  1.22361,  19.806  34.2723 0.991529  1.20021,  1.05255 -0.769357 -0.559375  0.411427
