obs_id,true_value,meas_value,corr_value,diff(%)
16, 19.6107  30.6466 0.992117 0.773403, 19.4806  30.9114 0.960822 0.764664, 19.4994  30.8163 0.986836  0.78124,-0.567651  0.553772 -0.532293   1.01332
18,  25.0442   12.7387   0.96444 -0.630509,  25.1105   12.5078  0.926934 -0.618549,   25.127    12.602  0.933147 -0.634384,0.330638 -1.07332 -3.24469 0.614519
19, 20.1543  6.68137  1.18179 -0.64807,  20.2823   6.67114   1.17179 -0.562551,  20.3186   6.65227   1.14933 -0.556669, 0.815166 -0.435553  -2.74605  -14.1036
22, 21.3654  3.05864 0.692302 -1.19072, 21.5622  2.98876 0.720078 -1.24549,  21.545  2.98079  0.70264 -1.23095,0.840906 -2.54549  1.49317  3.37899
24,-0.407859   8.26097  -1.08467  -1.03876,-0.792229   7.87652   -1.1029  -1.05558,-0.745221   8.00668   -1.0998  -1.02569,  82.715 -3.07825  1.39441 -1.25804
1,  17.9972   12.1804   0.81513 -0.615168,   17.787    12.098  0.811624 -0.689307,  17.7893    12.125  0.797274 -0.658646,-1.15548 -0.45525 -2.19056  7.06762
2,   13.005   32.6007 -0.814928  0.728628,  12.8374    32.878 -0.764027   0.68087,  12.8055   32.8456 -0.773013  0.700673,-1.53366 0.751152 -5.14345 -3.83657
3, 25.4599  28.2703 0.800367 0.913709, 25.1182   28.801  0.79772 0.939365, 25.1477  28.6628 0.818388 0.920295,-1.22612  1.38855  2.25165  0.72078
4, 28.9769  8.10065  1.19331 -0.90761,  29.2615   8.33022   1.14128 -0.949672,  29.2597   8.30248   1.16593 -0.938801, 0.97615   2.4916 -2.29492  3.43667
8, 16.2603  21.1352 0.705534 0.888365,  16.353  21.1786 0.733284 0.843866,    16.3  21.1648 0.715604 0.856283,0.244162 0.139988  1.42731 -3.61143
10, 13.9879  31.1507 -1.01197  0.92036,  14.084  31.3577 -1.06942 0.840689, 14.0486  31.2974 -1.06716 0.888741,0.434113 0.471108  5.45363 -3.43546
12,  4.53228   9.63964  -1.15554 -0.976513,  4.42376   9.55139  -1.16451 -0.943011,  4.40866   9.54141  -1.16947 -0.954134,-2.72766 -1.01907  1.20615 -2.29174
13, 17.2399   31.709 0.997106  1.19529,17.0215 31.8338 1.05718 1.25711,17.1334 31.8406 1.04334 1.22357,-0.617668  0.414884     4.637   2.36651
14,   11.534  -1.20662  0.812975 -0.866144,  11.6406  -1.44959  0.755651 -0.859749,   11.643  -1.47984  0.780419 -0.860959, 0.944702   22.6428  -4.00456 -0.598576
15,-0.938942   10.4129 -0.624999 -0.719579,-0.870452   10.4428 -0.626757 -0.727355,-0.883947   10.4348 -0.628459 -0.720033, -5.85716  0.209511  0.553619 0.0631102
16, 19.6438  30.6723 0.992117 0.773403, 19.6051  30.8754 0.959905 0.738984, 19.5887  30.8678 0.970201 0.755129,-0.28058 0.637361 -2.20902 -2.36287
18,  25.0764   12.7177   0.96444 -0.630509, 25.2565  12.3135  0.96847 -0.58749,  25.2344   12.3738  0.954991 -0.605436, 0.630254  -2.70441 -0.979759  -3.97657
